Date,tavg,pcp,county
202102,33.2,4.14,Bronx
202103,44.4,3.12,Bronx
202104,53.2,2.71,Bronx
202105,61.6,4.56,Bronx
202106,73.6,2.85,Bronx
202107,76.2,8.23,Bronx
202108,77.4,7.2,Bronx
202109,70.2,8.82,Bronx
202110,62.6,5.26,Bronx
202111,46,1.02,Bronx
202112,43.1,1.42,Bronx
202201,30,3.72,Bronx
202202,36.1,3.16,Bronx
202203,43.9,2.46,Bronx
202204,51.5,4.68,Bronx
202205,63.5,4.68,Bronx
202206,70.9,3.4,Bronx
202207,79.5,3.21,Bronx
202208,79.1,1.65,Bronx
202209,69.3,4.06,Bronx
202210,56.6,5.44,Bronx
202211,49.8,3.24,Bronx
202212,37.3,4.9,Bronx
202301,42.5,4.47,Bronx
202302,39.3,1.33,Bronx
202303,43.4,3.35,Bronx
202304,55.8,7.28,Bronx
202305,61.4,1.81,Bronx
202306,69.5,1.64,Bronx
202307,78.8,5.36,Bronx
202308,74.5,6.17,Bronx
202309,69.3,11.97,Bronx
202310,60.3,4.14,Bronx
202311,45.5,2.87,Bronx
202312,43.2,7.1,Bronx
202401,36.3,5.73,Bronx
202402,38.4,1.89,Bronx
202403,46.7,9.22,Bronx
202404,53.2,3.71,Bronx
202405,64.2,3.63,Bronx
202406,74.8,2.31,Bronx
202407,79,3.74,Bronx
202408,75.4,7.67,Bronx
202409,68.3,1.22,Bronx
202410,60.4,0.02,Bronx
202411,51,3.22,Bronx
202412,37.5,4.86,Bronx
202501,31.2,0.55,Bronx
202502,34.6,2.54,Bronx
202503,46.3,4.67,Bronx
202504,54.4,2.89,Bronx
202505,62.3,5.68,Bronx
202506,73.3,2.48,Bronx
202507,80,3.91,Bronx
202508,73.9,1.8,Bronx
202509,70,2.63,Bronx
202510,58.5,4.69,Bronx
202511,46.5,1.89,Bronx
202512,33.4,3.33,Bronx
201601,24.3,1.62,Broome
201602,28.1,4.2,Broome
201603,39.8,1.51,Broome
201604,42.1,2.91,Broome
201605,55.6,2.73,Broome
201606,64.7,2.81,Broome
201607,70.9,3.47,Broome
201608,70.7,5.33,Broome
201609,63.1,1.74,Broome
201610,50.8,5.57,Broome
201611,40.4,1.97,Broome
201612,28,3.41,Broome
201701,28.1,3.62,Broome
201702,31.8,3.05,Broome
201703,29,4.96,Broome
201704,50.2,5.8,Broome
201705,53.9,6.53,Broome
201706,64,4.66,Broome
201707,68.4,6.77,Broome
201708,64.9,3.24,Broome
201709,62.3,1.53,Broome
201710,54.6,4.57,Broome
201711,36.8,1.69,Broome
201712,24.4,1.35,Broome
201801,20.8,3.13,Broome
201802,31,3.54,Broome
201803,29.5,3.22,Broome
201804,38.6,2.8,Broome
201805,60.9,4.27,Broome
201806,63.9,4.02,Broome
201807,70.3,5.88,Broome
201808,70,9.75,Broome
201809,63.9,8.35,Broome
201810,48.4,5.19,Broome
201811,33.2,6.01,Broome
201812,29.8,2.51,Broome
201901,21.1,4.49,Broome
201902,26.3,2.43,Broome
201903,30.7,1.95,Broome
201904,46.2,4.4,Broome
201905,55.6,5.69,Broome
201906,63,4.92,Broome
201907,71.2,3.16,Broome
201908,66.5,3.92,Broome
201909,60.9,1.8,Broome
201910,50.7,7.91,Broome
201911,33.4,2.91,Broome
201912,28,3.88,Broome
202001,28.8,2.59,Broome
202002,28.5,3.38,Broome
202003,38.3,2.4,Broome
202004,40.8,3.37,Broome
202005,54,4.06,Broome
202006,64.9,2.92,Broome
202007,73,3.49,Broome
202008,68.9,5.76,Broome
202009,60.1,2.46,Broome
202010,49.9,3.74,Broome
202011,42.5,2.69,Broome
202012,30,5.27,Broome
202101,25,1.97,Broome
202102,23.5,2.61,Broome
202103,35.7,1.94,Broome
202104,45.1,3.75,Broome
202105,54.8,4.73,Broome
202106,67,3.93,Broome
202107,68.2,9.89,Broome
202108,70,5.32,Broome
202109,61.6,4.87,Broome
202110,55.2,6.92,Broome
202111,36.7,2.76,Broome
202112,34.2,2.78,Broome
202201,17.7,1.74,Broome
202202,25.3,3.48,Broome
202203,34.9,3.38,Broome
202204,43.4,5.09,Broome
202205,58.9,2.56,Broome
202206,63.4,4.52,Broome
202207,70,2.45,Broome
202208,70.2,3.94,Broome
202209,60.2,7.41,Broome
202210,48.7,2.23,Broome
202211,41.2,3.98,Broome
202212,28.5,3.76,Broome
202301,32.2,3.54,Broome
202302,30.5,1.98,Broome
202303,33.3,3.01,Broome
202304,49.2,3.51,Broome
202305,54.1,2.37,Broome
202306,63.6,4.71,Broome
202307,71,6.03,Broome
202308,65.7,7.14,Broome
202309,61.8,3.27,Broome
202310,53.5,4.07,Broome
202311,36.9,1.71,Broome
202312,36.3,6.11,Broome
202401,27.4,4.92,Broome
202402,31.5,1.52,Broome
202403,38.5,4.78,Broome
202404,46.3,4.01,Broome
202405,60.1,3.79,Broome
202406,66.5,3.42,Broome
202407,71.1,5.82,Broome
202408,66.8,7.11,Broome
202409,61.7,2.09,Broome
202410,50.6,1.4,Broome
202411,41.5,4.09,Broome
202412,27.1,3.65,Broome
202501,20.6,1.64,Broome
202502,24.2,3.15,Broome
202503,38.7,2.3,Broome
202504,46,3.2,Broome
202505,55,6.67,Broome
202506,66.5,4.83,Broome
202507,72.2,4.32,Broome
202508,65.6,3.02,Broome
202509,61.9,2.55,Broome
202510,49.5,4.28,Broome
202511,36.9,2.45,Broome
202512,23.6,3.1,Broome
201601,22.7,2.5,Cattaraugus
201602,27.2,3.6,Cattaraugus
201603,39,2.41,Cattaraugus
201604,41.7,3.2,Cattaraugus
201605,54.3,2.95,Cattaraugus
201606,63,2.62,Cattaraugus
201607,68.4,2.81,Cattaraugus
201608,70.6,5.27,Cattaraugus
201609,62.5,4.07,Cattaraugus
201610,51.4,7.13,Cattaraugus
201611,40.5,2.32,Cattaraugus
201612,27.7,5.49,Cattaraugus
201701,28.8,4.7,Cattaraugus
201702,32.6,3.29,Cattaraugus
201703,30.8,3.75,Cattaraugus
201704,49.8,5,Cattaraugus
201705,54.3,5.43,Cattaraugus
201706,63.3,4.8,Cattaraugus
201707,67.6,3.95,Cattaraugus
201708,64.2,3.53,Cattaraugus
201709,60.8,4.35,Cattaraugus
201710,53.6,5.91,Cattaraugus
201711,36.1,5.54,Cattaraugus
201712,23.9,3.96,Cattaraugus
201801,19.3,3.89,Cattaraugus
201802,30.8,3.17,Cattaraugus
201803,27.6,3.31,Cattaraugus
201804,37.9,3.5,Cattaraugus
201805,61.5,4.21,Cattaraugus
201806,63.6,3.79,Cattaraugus
201807,69.2,5.21,Cattaraugus
201808,69.2,5.2,Cattaraugus
201809,64.9,5.22,Cattaraugus
201810,48.9,6.51,Cattaraugus
201811,33.4,5.51,Cattaraugus
201812,30.5,2.71,Cattaraugus
201901,20.5,4.59,Cattaraugus
201902,25.6,2.78,Cattaraugus
201903,29.7,2.09,Cattaraugus
201904,45.1,4.29,Cattaraugus
201905,55.8,4.28,Cattaraugus
201906,62.3,7.46,Cattaraugus
201907,69.9,5.03,Cattaraugus
201908,65.9,3.4,Cattaraugus
